commit_msg,labels
test,3
test,3
more test,3
t,5
Merge branch 'master' of https://www.stratosphere.eu/stratosphereConflicts:test,5
test,3
new test,3
new test,3
new test,3
new test,3
test,3
test,3
test,3
test,3
Initial checkin.,5
- remove stratosphere/src folder,4
- Added .gitignore file,2
- Fixed webfrontend preview bug,0
Cleanup and clustermanager bug fix.,0
- pact modules are builed with tests- removed println statements from test- improved pact examples (K-Means and WordCount),1
- Added support for local filesystems to test setup- Refactored contract tests- Updated contract test configurations,5
- moved filesystem classes into designated package,5
Removed compiler error check in PactConnection#setShipStrategy,1
- updated contract tests- moved pact program tests- fixed tpch-3 program test- fixed LocalFSProvider,1
- added WordCountTest based on WordCount example job- updated pact program tests- removed old wordcount tests,3
- cleaned-up maven plugins in pom-files- added source distribution assembly- added javadocs to distributions- renamed binary distribution assembly,2
- continued maven pom-file clean-up and assembly configuration,5
- fixed PACT Webfrontend start bug,0
- fixed JavaDoc warnings,2
Mering Again,5
Initial checkin.,5
- remove stratosphere/src folder,4
- Added .gitignore file,2
- Fixed webfrontend preview bug,0
- pact modules are builed with tests- removed println statements from test- improved pact examples (K-Means and WordCount),1
Removed compiler error check in PactConnection#setShipStrategy,1
"Added javadoc comments and changed the thresholds for the doc, rank and visit filter",2
Improved java doc,2
Improved java doc,2
Improved java doc,2
added ignore,1
refactored misspelled method name getminumum,1
Fixed bug in split assignment for unspecified number of subtasks,0
Improved style and robustness of job manager end-to-end test,3
"Cleanup in FileLineReader, removed HDFSProvider.java",1
Removed superfluous files,2
Removed System.out.println commands from the Nephele code,5
Improved shut down of task manager,1
Removed unnecessary sleep times from execution graph test,3
Removed System.out.println from ByteBufferedChannelManager,5
Refactored *Notifiable to *Listener,4
Implemented check for cycles in the instance sharing dependency chain,2
Improved handling of I/O errors and javadoc for outgoing network connections,1
Removed sequence number checking from incoming connection class,4
Unified API for incoming data from the network and recovery checkpoints,1
Improved shutdown behavior of RPC server,1
Added debug message for job manager shutdown,0
Files of 0 bytes size now result in one input split,2
Restructured Nephele end-to-end test,3
Clean up for job manager test,3
Clean up for channel lookup protocol,4
Clean up for file line reader,2
Clean up for deserialization buffer,4
Added test for serialization of transfer envelopes,3
- fixed pact-test/pom.xml- removed unused imports in contract tests- updated TestBase.java,3
- deleted old code from pact-tests,3
- Minor fix,0
Reformatted ChannelCheckpoint.java according to code style rules,5
- Decreased memory requirement for check in TestBase.java to 192 MB,3
- Added JavaDocs to PACT base types in pact-common,2
