commit_msg,labels
"KAFKA-4779; Fix security upgrade system test to be non-disruptiveThe phase_two security upgrade test verifies upgrading inter-broker and client protocols to the same value as well as different values. The second case currently changes inter-broker protocol without first enabling the protocol, disrupting produce/consume until the whole cluster is updated. This commit changes the test to be a non-disruptive upgrade test that enables protocols first (simulating phase one of upgrade).Author: Rajini Sivaram <rajinisivaram@googlemail.com>Reviewers: Apurva Mehta <apurva.1618@gmail.com>, Ismael Juma <ismael@juma.me.uk>Closes #2589 from rajinisivaram/KAFKA-4779",5
"KAFKA-13155; Fix concurrent modification in consumer shutdown (#11164)The `TransactionalMessageCopier` tool, which is used in system tests attempts to close the consumer as part of a shutdown hook. Although the access is synchronized, there is no guarantee that the consumer has finished polling when shutdown is invoked. The patch fixes the problem by call `wakeup()` from the shutdown hook and pushing the call to `close()` to the main thread.Reviewers: David Jacot <djacot@confluent.io>",5
trivial change to README to make the gradle wrapper download clearer,1
"MINOR: Add KIP-584 to upgrade.html file (#9511)Reviewers: Kowshik Prakasam <kprakasam@confluent.io>, Manikumar Reddy <manikumar.reddy@gmail.com>, Boyang Chen <boyang@confluent.io>",5
KAFKA-13301 Config documentation optimized for 'request.timeout. ms' and 'max.poll.interval.ms'. (#11329)Reviewers: Guozhang Wang <wangguoz@gmail.com>,2
KAFKA-139 cross-compile multiple Scala versions the dependency jars moved and the bin scripts needed to point to the new locations,1
"KAFKA-2072; Replace StopReplica Request/Response with their org.apache.kafka.common.requests equivalentsAuthor: David Jacot <david.jacot@gmail.com>Reviewers: Ismael Juma <ismael@juma.me.uk>, Grant Henke <granthenke@gmail.com>, Jun Rao <junrao@gmail.com>Closes #196 from dajac/KAFKA-2072-part-2",2
"KAFKA-3170; Set default fetch_min_bytes in new consumer to 1Set default to 1 instead of 1024, this matches the existing doc and feels like a better default value. Have run the unit tests with the change.Author: Rajini Sivaram <rajinisivaram@googlemail.com>Reviewers: Jason Gustafson, Ismael Juma, Grant Henke, Guozhang WangCloses #832 from rajinisivaram/KAFKA-3170",5
trivial change to 0.9.0 docs to fix outdated ConsumerMetadataRequest,5
"KAFKA-13940; Return NOT_LEADER_OR_FOLLOWER if DescribeQuorum sent to non-leader (#12517)Currently the server will return `INVALID_REQUEST` if a `DescribeQuorum` request is sent to a node that is not the current leader. In addition to being inconsistent with all of the other leader APIs in the raft layer, this error is treated as fatal by both the forwarding manager and the admin client. Instead, we should return `NOT_LEADER_OR_FOLLOWER` as we do with the other APIs. This error is retriable and we can rely on the admin client to retry it after seeing this error.Reviewers: David Jacot <djacot@confluent.io>",5
"KAFKA-12996; Return OFFSET_OUT_OF_RANGE for fetchOffset < startOffset even for diverging epochs (#10930)If fetchOffset < startOffset, we currently throw OffsetOutOfRangeException when attempting to read from the log in the regular case. But for diverging epochs, we return Errors.NONE with the new leader start offset, hwm etc.. ReplicaFetcherThread throws OffsetOutOfRangeException when processing responses with Errors.NONE if the leader's offsets in the response are out of range and this moves the partition to failed state. The PR adds a check for this case when processing fetch requests and throws OffsetOutOfRangeException regardless of epoch.Reviewers: Luke Chen <showuon@gmail.com>, Nikhil Bhatia <rite2nikhil@gmail.com>, Guozhang Wang <wangguoz@gmail.com>",1
"KAFKA-3949: Fix race condition when metadata update arrives during rebalanceAuthor: Jason Gustafson <jason@confluent.io>Reviewers: Vahid Hashemian, Guozhang WangCloses #1762 from hachikuji/KAFKA-3949",5
"MINOR: doc change for deprecate removal (#5006)Reviewers: John Roesler <john@confluent.io>, Bill Bejeck <bill@confluent.io>, Matthias J. Sax <matthias@confluent.io>",5
"Rename streams tutorial and quickstartChanged these topic titles:- Write your own Streams Applications -> Tutorial: Write a Streams Application- Play with a Streams Application -> Run the Streams Demo ApplicationAuthor: Joel Hamill <joel@Joel-Hamill-Confluent.local>Author: Joel Hamill <11722533+joel-hamill@users.noreply.github.com>Reviewers: Michael G. Noll <michael@confluent.io>, Guozhang Wang <wangguoz@gmail.com>Closes #4017 from joel-hamill/joel-hamill/streams-titles",5
"KAFKA-9614: Not initialize topology twice in StreamTask (#8173)We only initialize topology when transiting from restoring -> running.Also tighten some unit tests for this fix:a. restoring -> suspended should just write checkpoint file without committing.b. suspended -> restoring should not need any inner updates.c. restoring -> running should always try to fetch committed offsets, and forward timeout exceptions.Reviewers: A. Sophie Blee-Goldman <sophie@confluent.io>, John Roesler <john@confluent.io>, Boyang Chen <boyang@confluent.io>",5
"KAFKA-13613: Remove hard dependency on HmacSHA256 algorithm for Connect (#11894)Reviewers: Mickael Maison <mickael.maison@gmail.com>  , Tom Bentley <tbentley@redhat.com>",4
KAFKA-3836: KStreamReduce and KTableReduce should not pass nulls to DeserializersMinor changes to check null changes.Author: Jeyhun Karimov <je.karimov@gmail.com>Reviewers: Guozhang Wang <wangguoz@gmail.com>Closes #1591 from jeyhunkarimov/KAFKA-3836,4
"KAFKA-5630; Consumer should block on corrupt records and keep throwing an exceptionThis patch handles the case that a CorruptRecordException is thrown from the iterator directly.The fix is a little tricky as exceptions can be thrown from a few different scenarios. The current approach is to let the same record go through the exact same process as last time when exception is thrown, so the exception will be thrown at the same step. The only problem for that is the iterator state will change once it throws an exception. To handle that we cache the first iterator exception and put it into the suppressed exception of the IllegalStateException thrown in the future.Author: Jiangjie Qin <becket.qin@gmail.com>Reviewers: Jason Gustafson <jason@confluent.io>Closes #3573 from becketqin/KAFKA-5630",5
"KAFKA-6748: double check before scheduling a new task after the punctuate call (#4827)After the punctuate() call, we would like to double check on the scheduled flag since the call itself may cancel it.Reviewers: Guozhang Wang <wangguoz@gmail.com>, John Roesler <john@confluent.io>",5
"KAFKA-2517; Performance Regression post SSL implementation (zero copy)Author: Ismael Juma <ismael@juma.me.uk>Reviewers: Sriharsha Chintalapani <schintalapani@hortonworks.com>, Ben Stopford <benstopford@gmail.com>, Jun Rao <junrao@gmail.com>Closes #273 from ijuma/kafka-2517-ssl-zero-copy-regression",1
"KAFKA-3878; Support exponential backoff policy via reconnect.backoff.max (KIP-144)Summary:- add `reconnect.backoff.max.ms` common client configuration parameter- if `reconnect.backoff.max.ms` > `reconnect.backoff.ms`, apply an exponential backoff policy- apply +/- 20% random jitter to smooth cluster reconnectsAuthor: Dana Powers <dana.powers@gmail.com>Reviewers: Ewen Cheslack-Postava <me@ewencp.org>, Roger Hoover <roger.hoover@gmail.com>, Ismael Juma <ismael@juma.me.uk>Closes #1523 from dpkp/exp_backoff",2
