commit_msg,labels
Initial commit,5
init skeletons,5
checkin basic expr,5
fix bug for rdiv,0
checkin basic var,5
basic var,5
"Move Var back to Expr, add format str test",1
add expr simplify and canonical,1
checkin tensor,5
checkin domain,5
finish tensor dom infer,5
Fold RTensor into tensor,5
checked split,5
Temp checkin c++ code.,5
Merge branch 'master' of ssh://github.com/tqchen/tvm,5
checkin basic cpp test,3
"Enable array, basic form of tensor",5
C++ API work with python,5
Add safe destructor,1
fix c api,0
[OP] enable binary op,5
[API] expose dir,5
Add domain,1
Tensor API,5
expose range,5
checked buffer / schedule / code gen,5
Expose array to python,5
Simplify for cxx,5
Change array to copy on write semnatics,4
Allow all enum int to be exposed,5
Check in basic schedule container,5
add var binding for expr,1
"[REFACTOR] Move Node always bebind NodeRef, expose ->",4
checkin stmt,5
check stmt in,5
"Switch to HalideIR, with C API compile",5
"promote C API lib to root, pass basic_test",3
Add most of IR constructors,1
"Add in Array, fix most of IR",0
Change name matching to SSA Variable and Function matching,4
"Add Tensor, cleanup test, all present tests pass",1
python3 compatibility,5
Check in Tensor API on python,5
Checkin reduce,5
change APIVariant to class,4
Add new functor,1
Merge branch 'master' of ssh://github.com/tqchen/tvm,5
Sync up,5
Enable reduction in front-end,5
Checkin Schedule and split construction in front-end,5
Adds cpp test for Halide IR cse pass.,1
Enable IRFunctor based IRMutator,5
update comment,1
Checkin IR Visitor and tests,3
check substitute,5
Refactor IR Pass,4
temp checkin,5
SSA Pass,4
Enable attribute key in LetStmt,5
Add Operation class,1
Check in inline and test,3
fix compilation,0
schedule over operation,5
Finalize tensor and operation,5
Add AttrStmt,1
temp checkin of schedule ops,5
Keep up with changes of NodeRef,4
checkin initial of itervar,5
Refactor to use iterVar,5
Enable bracket syntax sugar to get tensor element,5
"Fix Schedule structure, refactor compute to all rely on iter var",0
temp checkin of schedule,5
Finish schedule operation,5
Add tile operation,1
Merge pull request #5 from ZihengJiang/masterAdd tile operation,1
Skeleton of bound inference passing rule,4
"IntSet Evaluation, skeleton finish",5
"Rename bound to schedule, add graph related utils",1
Add map container and tests,1
"Expose testcase as bound inference to python, now push toward the goal!",3
Pass first basic case of bound inference,4
"Fix Tile, add a few more test cases on bound inference",0
"Rename dim_var to axis, update testcases",1
Stronger type checker during conversion,5
"Make Tensor comparator and hash to be aware of same op and index, init checkin of the ir generation",5
[PASS] Schedule Ops init working version (#6)* [PASS] Schedule Ops init working version* bugfix in PassUp,0
Setup Travis CI (#7)* Setup Travis CI* add source* fix source,0
"[LANG] Change Schedule->Stage, Use Schedule for global schedule (#8)* [LANG] Change Schedule->Stage, Use Schedule for global schedule* add numpy as dep* add numpy installation, temporary disable osx",1
fix ctypes bug for mac (#9)* fix c_api bug for mac* update travis,0
[LANG] Enable json load/save and pickle (#10),5
add simplify test (#12),1
"[LANG] Include buffer semnatics, introduce pylint (#11)* [LANG] Include buffer semnatics, introduce pylint* Refactor inline add support for buffer indexing* fix doc",0
[PASS] Basic storage flatten (#13),4
[RUNTIME] Add interface header of runtime (#15)* [RUNTIME] Add interface header of runtime* fix mac build,0
[PASS] Export simplify and equal to python (#14)* [PASS] Export simplify and equal to python* fix naming convention,0
[RUNTIME] Finish GPU runtime and python interface (#16)* [RUNTIME] Finish GPU runtime and python interface* fix travis test* fix build,0
[RUNTIME] Enable OpenCL (#17),5
[PASS] Assign unique names to variables in ConvertSSA pass (#18)* [PASS] Assign unique names to variables in ConvertSSA pass* revert change to ConverSSA pass,4
[TESTCASE] Add a mock test workflow of CUDA codegen (#19),1
[API] Move all RTTI related code to one place (#20)* [API] Move all RTTI related code to one place* add back rtti comment,1
[IR] Move AttrStmt to HalideIR (#21),4
[CODEGEN] Add CodeGenC (#22),1
