commit_hash,score
60d19dc2db79f6eb9be146b59e65a92323d25c08,1
ebef9ed3fa4a9a1e69b4405945e7cd939f499ee5,5
d1b4572c454b108754882dd96daf1c3f52b75b50,3
077bacd9e7cc066365d3f201be2a5d9b108350fb,5
210ad6408f18de006b94300832b0097d41c40d55,3
81bbb5531f4a7845fc2368b1fa41b315a0b1ae2c,4
f46b54a10ec35485e7f507e308b9b36232168170,4
17ac070b29bbf6ef80f3d7382d524d694464f498,4
2b10ba4f80c514484dba1cd89e8f53d1734e426a,3
416334e2ecd21d8a532af6102f1cfa9ac921a97a,3
18b2ca4ecf52e8c4d0c39923aa55fe29ea2d6c07,5
dd08ae3469a50a145f9ae7f819ed1840fe2a5bd6,4
9c59831ee78f14de96421c74986933c494407afa,1
fb40505795d3f05378f907275f740b11762ceba1,4
f9e98e8ce01ffb73e217fd521af3fa8f7024765e,5
1dc852d4afe8073cf9b410cc5e98955d2028cb4a,3
87d051144bb6ce62b1acfb28daa0f0f9840b77af,2
2800c8e556401d68eb18036c11a5b6cb004ca7d5,3
d45ab12cad0d44e55cf2468eb31f6f2e0668e4d7,5
9a80ab04f5c257c849e15aa09562b413e7efc621,5
778411ac06d4657d84da42e9addbe973616e48fe,3
43907e9192fe7a658209238de2c3fdf919f7ced4,4
9b7852e0474ade9a12d3be99ee4533c907536b6b,2
a8174047b24ec4c3eb62e5651b39ca44dc8dd94b,4
9133ff4bc49468a1789b24283f9452b343f47945,3
f034d4b78cf47ef5284e18483d9ff610d0546302,5
d8b730a57b8eb4e6bc408b3553b16ada2386ae8e,1
82fa048c128b698a28d69d92e0c01d9b3953d883,2
31318ba8eb5b136277fc1672813cb57e68989abf,4
4518dcb3261ffa9de86e0229b593e4aeabeacddb,1
2f8c9dacc1fadea5c07c1eb73fcea7182b04ffa3,2
e4888a061f2f657a3329786a68beca9f824b2f8e,4
94d5526052ee0b01da02994819854e87c55e95f0,4
707ab695229f7151dd879659edd30810a4403937,5
d7c996c6fe7789c8ee24a1c6e1868e05a4b33621,2
f8ae6e5cb601f14bf8fa95dd001e1eb04702e8b3,3
c61a62bea64d605d8373ea00b74415b74ac1cfe9,5
0b2e1a8744ac0d5965cb11f6a6fa74cee1d03f3d,2
730b4269e29e9b8d4e99e8e6c976b3777617a490,3
fa4fc37b966b331377257fe964824914524dba96,4
c521e3f1d4b6e6029b8f6e2f35eab4c00d94a6a5,3
c6be8b113db4c8da65d526e50a249ce5311f5341,2
68fa358c85d0ebe1aa22ace30b33867ad4e622a8,4
c8e1774de708032b6dc0ffc094bfcfa3178e322f,4
c3730650c852cd7a5e06a5933f5064bbb04e0e88,2
373f0d1426f5f42646f5cb89f8d7db640404b55d,1
f9969c1650252075816b2b8d0f1596d407a7aca3,5
928dafe6c495bbf3e03d14473753fce915134a46,5
4e362c134702dca30d1bd2e3da38bc2ee39825bf,2
34f02dc1360dcd7857f23bc7b92c02c119365848,3
479ab54520574d1898eee183663525532311ad3b,2
1edef28b315809c8367b29f3f1a83984dc6566c4,4
779571b28b4ae1906b4a23c031d30fdc87afb93e,3
c0e9daa3632dc0ede695827d1ebdbd091401e94d,2
833087f4f9e86ee063d6a754593d80e9e5cd4100,5
0e8698d3edb3712eba0514a39d1d30fbfeeaec09,5
846a1319897b5cd054adbe464e21f74a65cdc9ee,2
1b899b29cf66174712722d25e53a76137860fab1,2
e9cfa393ab05e9d9546e5c203d4b39af5586031d,3
1a46e9b636094bea1b8039d2dd0308739a43afa6,2
bd822dd8c27f4f7c584da4a5d0524140e64d7613,5
f1f022c1ece2f2719a16e5016dfa5c8bfe57bfd0,5
f743e46c5a4fdd0b76fea2d07729b744644fc416,3
5503603cded8613721ea56599667b5a309190b23,4
746d8de2fcaa9554b4ce7dbf261e4ab148233222,5
b9ba6d85b0c7c6ce866f346693c82d4c8997a0d2,2
0255a0a5e7b93f2daa3a51792cd38d19d6a373c0,3
68d1714f296989b7aad1a04b75dc033e76afb747,5
f9c226343d94a7732da280d1dd086bf1ba291c77,5
b70fded4a5e1ef65a9a2497b50dd2e2c7e128daf,5
f40ade4643966b3e78493589c5459ca2c01db0c2,1
9ba8b31ed5001ea6522657b86ce3dfd2a75d594c,2
e81527c5d39840b37180060a0865467c37d698ee,1
f6ce1e2c01ec15182a258e7bffd11d2a865fe045,1
21021228759da8d3e98ca3f6d0922a6e9a0b5e68,4
821ced78e77632bcec60c967c7b568d484ef6c69,4
f90bb0842577786ffc9383b305d36ad8b79eb58e,2
2811851f80d6f5852d2401f7c57d2e4520b4f2ab,5
7b561981263ec7173cdf967c8e1b1028dba4d99d,3
326c74e60871736f43c303068b0aaa5927c50de0,1
ad4e67ce1be114f248ecd5ea1468ccea79366590,3
10350aa80b531bb00e68c8f4d9e71a8fb912223e,5
660027f65d5333368aad7f16d3c927b9615e60ac,2
0c77d5ca71e8f11b21c1b147cb1d0e86ea0ebffe,3
9d87552cebe513fcea5f3d93e18dff2df06a66a7,3
0de91ac521ade65a1a4553789e3b98b346f8f8a7,5
e41b5a012427b5e7eab49de702b83dba4fc2fa13,1
d240ce8fe34e83d72cde62c9b4bbaebee056092d,1
53796988929d7b5de98cd322fdea9e0a8edec0a1,3
65851f7a747a61ac486f18ec9b5dfcccb711027e,3
d285ab3b664ac71810fcf0098b25c126c923fdb5,4
d9fecba14c5eb56990508573a91b13ab27ca5153,1
c95081406fa47ee737fa7937be4f13e47b2befca,5
8bae4e1ccabe6426a68f53ff322e1e667c36f730,4
c44e2009ee625ce4a82c50e585a3c8617d9b4ff8,4
f57affcde19214c7a1a01c40143b7d645253bd94,1
