commit_hash,score
87e6cc2089196cd454dbcd9ad63bee2fb285b059,5
25c151e7a911adf0787e311cde01d8c66ab2ae1a,2
a8c4c48d7ddc2d0fd880535d7c7d24bd4f63c0d8,1
9ac44ba105901e308b80c04e3b0de7d7e8a06d14,3
1eaf54b73de34fe86057675be090032746cd6049,2
fe2b2d63857816f3d3cb1a2749bc0bef33b68f96,1
f4efd998e53d8d715c6eafbd41892244a6c1a7a9,2
04f8ef7c7dc2087d44add4bd57285e699835cdc2,5
7b11679e45cb990d6be0974ec6b15511e49fb141,4
d8e469db830ac3da94d23a6f5d75297c0d7ff42d,1
ea7a356b861dd464d37b57ca10f5aff797afb905,3
ccd6119e492b0ecd2bb49e5adba6436ad09cf1bb,5
6128028097f41a5b4990e86f0e3b3934a9c18190,2
927790dce6e33c65ed2785c2d58ca1f2a6a538bd,4
9b88184518c6f23f1a0f18d68623e4909b3c4476,5
88c79ca21feb2b1921cd7cf27315f847d1e76c97,1
94411a169a116c0dec47d835def66539fb0cee90,5
01cf808ee863f4b0f429f20ba05fd2e322842e48,3
ec04072878d3b5b554089e01e0072f2760c39a40,4
8bc5535010f192f18fc0e4a157816fb159be3cba,1
22735e3f3fdafc86b9f3c20b361a3830b30d44e3,1
180551149e276d18344c430335d8999df2f16ac0,5
777b99c59aebbbaeb55fba50e29d24b12634c542,3
8780cb6c4fa05f7cd6167f1240d03f407d8d41ea,5
98437c765c8957fd5ea392502de393d4ec695ea2,5
d36ce5ff77fae2b01b8fbe8e5c15d610de8ed9f5,5
042e1b8b785f3ede249b997cb2c9e768c116a265,4
8f74718b1e0a7309e2c29aad1f99891b56fb845e,1
3d119e1155aa8930cc7b18a085d6790cb2c63b70,2
4d33f4fe066f085bcda42187e58a3207c9c75b9b,3
e2c75acd70a903e5417e5bd03b35dc6115d715eb,3
2c4b8e130bba23f8eebb07982b8c1a845710ef35,3
a9d55d3ea7a876510cbb643ff62d777d438291b9,3
5b12417856faa107ce4ef32dc38c47b951c3fc13,5
8d0d22d2905afe42ac73287c06207fca2567911d,1
39ef9593f4d88aafaa296f119d9f4a55c9731af1,2
cf4f3644c0eda42c4c872daa175d095117788086,1
31c717697a52af2c64439aaaba2f6a1f97a22159,2
4f4c4b8f1b1a6486196ec9bc982fb0132c6f4045,3
ed4a9e0adc3b827155bf0e4cbbc4e3e290d669d4,5
7eb58773eeccd248127124ded64383055842668b,1
6f6fb43ca2f8413e81a1b19e77c5cf3101b7e61d,3
9d9ca95c64d9fadf72764dc4f6fbbcbffd5d11da,2
c7a4203b433267a4fa9c0073e3d61893639b3e3e,2
a9704308802e3f71589c790a81a7e65a56ea35dc,3
85a5e1d199e5529bc657e4797399e43a800194e3,3
c70740179f4e89139407fabafc808a4350d5c44b,2
