commit_hash,score
1c82fc5f3c9004349aec9f35090f4bbd9d5e6558,2
0ab89a42a6c5fb524904521440dcc3572ac83743,5
7c127fdb0caf9d594e735f65727d2d17553f9b6c,4
b9211077cd96be04d4efa9386e59ca1d947a1f11,1
8fcf1e0015703bb0c88f2dd59092fe76d59a6b19,2
b20aab0236c4b0a53c0350fdb706bd68be4e2a7e,2
017278c111f00b9981c46c61c2d43c2f983bd798,2
458e313000802282d24b4145310afc0d1cece4d2,1
919a298092df34f1ad2aaa04b23c8c9b10644abb,3
aaa3ef21611a166581f05447851c3433097fa5f2,5
b04c96afb3076a44427f60b0543f2c3874b240b7,3
88f97aedef56d2158ec37619598db77e84ca02ed,2
c48c9370425be886c25fd9cf2252e87d2306ec12,2
add4500a1647cf6dbcaa379d3664b2a54bcc0b53,1
299dad1de3eddb8e5a0eb11461ef549fb725497c,2
109767513b1daba600dfcc7e26e35a0aeeec6877,1
b6c5ddda906d92d6cfdee66e0c8d6a3b242eacd9,3
9d02cb0d4592cdd8d677a00cdd75ab6f9c86016f,1
44be1b5d7b438a89a6537e1c5ae30a4f0efbf53d,3
e1bc19faf619ba367b84da620328d4c071d8ee47,1
1e209b1a8934515dfa4fbf0407f69475238c4486,5
ae801871e5007f67ec50ae2d58894998c8e21176,1
1fcb2a3d68da9bfac063a3c1d73c1dd05582f214,3
2eaa777314e02d018b9c8e0432f9221fe92e4786,1
6b0e77eafe3728ef03c2696e826589a4d8e8af14,5
28944ec183cfeee7fca5b84984b3757efedd43c7,2
8e04fb1b825146bdbe5744d28650694ce82b977a,2
2005fd1a682c29367d5f42c571c378a34a0c99be,5
f10073fabf9d7ca2ac1ef82f1f0129c073eb87e5,3
7c9ff5934ff36f5120f709dcd6a410c1513b3121,3
5156b791f0fec3c10e0c7f7f9ea84ed99ceddc41,2
fadbc387e84099e7ae069e51ac3e855c26d3754e,3
537f79f805e2234bb02061f146d3570c66b74e4f,1
3f51d4eb48f4d2ab3a6d1aa4ce73f10b349cfb8a,3
3901945207f90d9c3691578298a6f730e252161d,5
0e9581b956f13ea52ae1a70018f6d8ad741e7f2a,3
bb02019aa0cc3faaba6b09bbb334d5b36c167996,4
cfbec6b311eef919406e7d113f87bd1c5e949254,1
f04aca1ef174aa445de3e06282dc8084f2d0e8a7,4
c138ffde706d53b66a1da036c26a7d32ed15960a,2
612705daa5651be2888fb5cc24fa4e067bed7381,2
374b85fc119f9790a8fde5e509f5d132d8026094,4
b6869ac823009ce4e65128a6efcee40d36ff8fdf,3
c4ee350f021beea5625f70c047fff88dd474b796,3
b8156fdf2b7d800b54336cf2a9431ea7c457ac1d,1
c2470611d91268c037db29067774011f076a0797,2
849481a86157dca12ab1004bd2ce32237be50b94,3
ada79e533a84d092ab4f659c0fc143ced63c612f,5
46f706a40302626d8aaed20f049391d0c4aa94aa,1
9bf0d80c9cdaae71c9b385387369039ebc284144,2
517b0c35abdbc27d671b091eddf2c6b1658e1d4b,2
6d0190b7fd1825e4e183ec5a4344964cae4285c7,1
eb48617a38600378531e316e2fa8ab35a02c2a4f,5
b748dea801dd0c9982ebd52450e3534850f0e132,5
36ee184375ef080d6157acc005ec9cbc68af49a6,5
2a19991fc2a512b249016fb91136e971989ac774,4
d22d364df15c192e6bc7e70156034986e07f78e0,5
1003be45f10a9123f449882213ab8d57fef76d91,4
9ccebbd48e0f33411203e49404136b6803b86891,2
ee6a0290405878d3be6b21023a4e8f617c06df9e,4
a37244b5d7818207aafce7169c213be2bfbee638,4
3ed87015a66489dbd53a96473778dd6d2653d1b4,1
4da50a64ea223f7e65b3ed4797ada18c40e300cd,3
7988f83ef359bd1ea9b1f4c09566302c63bcca2f,4
7642cdf0123ceb1983f064e764f5f93ecc872e94,5
b6be1b768e7bb3bb84df39f907451a08846e099e,2
001a75e1d20b945627a927dd4d02a1bba0ec126a,3
1ce630e92902797deb51e1e50679757556310fbc,2
a95fa4cd4603827e22e94c90e9f398f6ef0df837,4
6e73a6278f306c976f068dfd18db9092819aa90d,3
0a7dca91109eed4fb93571449dd1fcf0bc33eda9,4
e3c0a4e5492439ce4e50ea49eea4f62324221fa4,2
bcd9794a9913fa7a5c47e0aa6795ccede80ba762,4
51b9bd703b54cd8acd4b31cd6f106c4c4862f662,3
2df2baf707901dc1c65594475d1dd081db08dc61,5
f0aec02dff5b61e68b1ac92569249b1e4974933a,1
03217722c5d10fbc9e0d03ce0e11c90f75cb795d,3
08df8af8ad097d19e05ba0e874cb4edc788423f4,5
ab274e595d3265a3fdc6913fbdecc0560eb48d26,5
f4b2cda9649b25422bcb7540b06963984a93544b,1
36bed6e320bf747a50ba917ede54b8fac69a80c5,3
c339125d7d3571d402eea29498e5454e8f09011a,4
da12388bd2ca6f3f9984d78f1ad63f309fc73fc3,1
d59706beeebfe6673f8c362b31ec66f3a4b71163,5
dfeafcb1758b2799615ad0ed31fe228df84ad6b2,3
d0d9f3ce165213597a30209a83ab329d551cf541,4
57360a0ddcf6893808a005b59fdbe7e91fd822ad,4
842689c9d8a4996604c0cc7083af42b64b108f48,3
dacec92619468bd3849675b244d1760c2f350dfa,4
1e0816fa939fbf4e9496c5b140d100746c2fddd2,2
d4bc2aa0e33cf19ddbed4fb941871d573c5cf1ff,4
6f7adcf9858e538e596946e4022c56f80b1d4c33,1
b554ea3f5ac35f8d4801e0d760ac2b4b453326a3,3
c4985a301b4b0dcc2dd505b49620eff03141aa8e,2
d738d2f645abe16457311389b8827ecd80ca71da,3
06382a00370f38e4b1243d87e3c4209c1884ea46,1
b8e8822c7d2d0bcf38cc7adda220b27fa7b3be79,4
264c04198a310892cac113e1920bb8c7aceeeae4,1
c218c4be0cf4b1b514adfe0605a749e1dd143100,1
abf74e4a20128abfb79773d6dadff22eae83ae04,1
