commit_hash,score
fd79dd060812af0531428cb2f7fd4aa74ea8124a,3
66a9416e384fa3d3388de65885d895335e707286,4
5e769ccd5bf81f82c90069d4b0e79182a1cfe3c0,3
046b0087bd76637bbfd813ccef31693fa358ff2d,5
5cf579a7e43e0d2e6a2a26ede88ee850127aa4a1,5
41e4e93b5ae8a7d221fce1733e050cb98ac9713c,1
14e0ce0a47fb7f6ae6dab085b2ea9d5a1f644433,4
347b37e31945b54fb96fc7dacc2b2deed40e8e5e,4
f4983f41727305a0e26eb979b7ddc32782683f92,5
cbafc08a5f25df58d33093b2e6015e8c49fefdea,1
30736da65d6e47eb68ab7563357a063caf753964,1
6acd37720df402a665094ba1153ae200ad5d6705,5
e54ab292e7e2fd1d18e82387a586969ba57eb7ea,3
6b905ade0cdc7a5f6f746727ecfe4e7a7463a200,3
f0a09ea0036312b50321caacd2363818a4bc3859,2
9a836d0154efe6ea1effc688567186cb56265bf4,4
b71e6dc352770f22daec0c9a3682138666f032be,2
6b2564811a6137f1fe639dee236f2538bb7160b1,4
bf7fb63218640873781720a494d1114fbe628795,1
603502bf5fb78983434a1a44ccc15a49ef6942b0,1
701e318ee1046946ce6681a59223504d8c33d751,5
0b464419e2e4f28444fca653ae5aa8dd7feae9ba,4
32740044972ad3bfc9539b5d76128dceddedc2ba,1
be0f10e1902961daa51b543f293f7038dc6e4344,4
d2a2b80cc615429a14ccdf21a1bd6c5fd0b31728,2
cd9995c71c414d505239d34aa2aa79c862fc498a,5
95dbba9fe584c2d62be3d589b90ecc224ce2d130,3
39d68de39377db5bd911175c157953bc6102d86b,2
5ba48348b3abb8f84fda0798d992ff2e0a04051d,5
22aa9d2ce13c556d0876491e428c57b75010d07e,4
670193f22d9e05a130024c1bcc7408ac2f736fba,5
1e4dd66b19857f4f0ce3f83fd0a808885b0a88c1,4
bbb357c174ffe4ead1229301847c08c3879c6723,4
074ab2ebf6856628219d4c4ee95d57ff69d29bf3,2
b988528b91a02203c7a8d856628131fd5e323d59,1
1d24e10aeab616eede416201336e928b9a8efa98,2
39d68de39377db5bd911175c157953bc6102d86b,3
1ec842a3ea9bbe414a5c59f90569fbc3348bdfb8,5
3a161db57138b8001a66bef19dfc6e865f4fdfcd,4
3c60511655df3349323e394bdc3836300991352f,1
cea319a4ad9c55d3d3263cf7a4224c25772d0e11,4
0e2c90bad934b276610fdcf027252553208099ac,3
87fa96e29186a9b874caed820cf25d3d6f91b9f3,4
f49053bf5cf0462d19ded851b562888f2d4cd508,5
35ed7b14cc8f943b4fbc9945a93eecbff7b72ab2,2
5145d6b6b413721948bf89079b13ddbe82143bf1,3
ae2304f27c5a099b52cc9dd707fc237576deada0,3
aa0f450dada9ac47c5e9874c44eba801051ed899,4
8959690e96f22e6905f80c76faa355448e4d2e51,4
7ebcd50fbf70dcf401094f6f28dc615820835fb1,3
9a6b57334953ef86603454e5b0d1287ee4281d03,3
a07923c4f27c4a938da53e9b0d55fa2d6a0515fe,1
6d6366cd5563ba2a7bd894611ef037cdea99273a,4
71f732e6e5dc90875046c43f2a5c2ed0ee478a91,4
09f5d17e696aaba397980bc6bc2abf391aa25fa8,4
830d83e2cde4f33735128b533cacc8b8ea23a2c0,4
17aaff3606393b42d4e8ef5299141b5bb21300b0,5
6f104935e9fb4a6d58c710fecdf1a28d52e0009e,1
2dfbf4b5fdd7698a83a1c3d078a846f3674235f4,4
c003cc6b35333dd687b5fa5c6d16e7c2b305d25d,2
5919e73e5d2ebdf3d3fcefcb691b0718bcce34bb,1
3432e85f664c5e3d8300171c314ea52b2f4b88fd,4
36ed00d9bf82d48b0a02b6414734b7698c9ac4ea,3
40b35178e8dc8f6d243f985a3f1f93a79aacd8d1,4
87bf5c36504d5f5353d98994d5c31d033bea00b8,5
aa42a11dfd99ee9ab24d2e9a7521ef1c97ae1ff4,3
d7ec9feaf1c2d2fc79218a798394f4665e4d72d0,5
6cfcc9d553622e7d511a849935e9b504f947399d,4
3615ef730caeab3f79874c8e2acb9f7e0e9cff82,3
c5879059546c2e38cb9dc2b8b4dd884485780059,4
623ab1e7c6497c000bc9c9978637f20542a3191c,5
cbb5b51475368613c7972297ea6055a4f75285e1,5
fc27cbe4159eaf9195017bc0fa929b0b84216d61,1
7feb55731ea9a86f81e8b1ed2b8dc44dba546dfe,1
2540b777695b2e90d353e81e970012f9a9aecc44,5
847957cbea48d404a4090d5c35ea41c3aca820c2,2
855f899bb523f3b334f711926a7db4cc75ebb4b4,3
2e075fe6a47221b24abc49c25a4a69a447362eeb,2
b6cd0e2791e0e6a6ef02d069b3001ffb477f7c6c,5
b64302f9cea0e3e95d740cbe7bbd4c64e147301c,1
e22f8ededaf838e7cec9dd22975d8461764ab076,4
e0099e1f5852536918bfa27b4d1c33779e45ab6b,1
2d96da05a0af7847aca5edc6d003a18be7f5216a,4
3ee1878d80aa6e3198731159d4479ac393489378,1
490bbc91183d1468a164d80f826317f137026684,5
6853d63e4de03d679978add576aa0977cecc053a,3
64451af9e08de428064dc232cd6dea0ea0b2a81d,3
3ea2d912c82a021bf43ba7a26b9b714c2fc0e817,3
22541361b7c62913bc848fb03e5f807e152a1023,2
7d9b9847f184ec72c4c80c046edc408789dcc066,2
0b3ab4687eec8a463689dccee267361177a27ae7,3
9a6b57334953ef86603454e5b0d1287ee4281d03,2
fb92b3a2cdf571715b948f81f1f8bb4bc363d497,4
135488352cbe646334a274418d7014a91e92057f,3
01ab888dbd08ccd4b0de9333d21581ce24fe2c3b,4
4170847f1227b73a20645af1b5b2d88375e37426,5
6a88d32b9fe3cb320088dec72fce30992b89ef28,5
8da65936d7fc53d24c665c0d01893d25a430933b,3
b9ffe596864b576d81c3ca0ae060ae4ac9006d0c,1
f5341c9f350e6a3320faa0689cb4e2757898af58,2
