commit_hash,score
260d660ac0bf2cf35e38f5bdffc3c70584a5ea6f,2
eae21b087cbde53b99fe40b862be7c99dedc57d0,4
c20cbc55c03f9f048b151a1221469b9888123608,4
24f1999cc07a84f7922255e5603cc03c4d4f8858,4
db9a9a797bce30a101b7c52251a45b61a42ad038,3
c5a7b74332cc9abc2bfb9132463e827c06073fdb,2
c1fc68715a4a0b7465b357833e21273ae52cab14,2
9ea4fa24506de8ae1f2a8ad82edcb25320ba5b41,5
f2ddb1961c2dc4181b399093ce698cbf0dd6536d,1
2ec7caa073307b546aeea7787238ad4960898354,3
54d4fe4b0f9b6b11d273420ad9b1e018b04c8d77,4
947841f10a042e36071020c0fb6846fa45124500,5
b895f2ea3ae51ee95b1133aa6540e2eb5975bebd,1
2d5a0720198e4d691682bfe7352740fa2a20a1f5,2
122be3fb18902bf2317797fedfa867dcf9607ef9,4
97f2838938d2b2e167a4d705b9399be486145461,5
71341451dba51e367249bb61e82bea35b5c4a554,4
3c19159587b67eab8017e4efaf57d0e95c44adb7,5
6c6dfbc90e36370176c192452c1865cd89323f3f,4
fc7a705104fda70f178d5b1070275196abf582cf,1
10d9da486518a0128f17156caf023c5339b96087,5
d2fc0252ba036a23a60975e8754523830f403043,3
d114dfc96ef39cbef30866c40a0dbc73365458f0,5
d777e7c612cf7a9aae4d8433c36f031c6b6f985c,3
aa97f4afb5c68e63cc19fa0279bbfa326799a6a4,4
ba6f194b54fbcd88372884acc6a2b722aed8343f,1
6baccc1305b13f18ce8ac5db5fcbbadb8c278454,5
51803edcaa57134d55e0d9b5deb06ed517932547,3
589fc01026dce43cc096f458972b4c0ba8bf2577,5
19f322d70335c13c0d4f7af15c684bd414b90b40,4
df44566ca31aec030e129f830f5900c1efc7ca73,4
a3776ba5aefd1102ccdade296f64a33f68774241,3
f1b9663fa1d3d413523124a3782b958cfbf88957,2
1e40e0c0c50447ab47d936b018ec217133e71875,1
ec9f38ec44f63cb836e1dec07a322cc2d2c62923,4
64d3393e084470aab27ebddcbb3eccb0f4a5d62b,5
aa7bfe73d995969117326df39eb252e149b7a469,2
ca9ec0093259b1bc570f570411288a1f12ab1329,4
3d010ed5e3bfe0816e4d6e260dbce31313d063de,1
129a1c18c4cdad6bfc1b5c33b33a36eba1dbe8ea,5
a59774e36109d2a175d32f48688b60847890fc15,5
37053e1708c6565c8a82c31c0ffc78e594bfe3b0,2
5782d2c6ea5acc041b6845ac33ff55ecc2993ac2,5
068fed94cf3468e3df510ac8a9aed635ed746804,3
6219d19a682e5823fe93e152c9cee94ded021dca,2
725ae75af4997ff3a5107cc82d64609773de23a0,3
f8c44e2bb563630df37aff8ab18c7f3f4d4a1c67,1
734df8d59b8a9c58cfd87eaca49e635c2ef39e81,2
2b045c560a7bac6852affb2ed5fc9df550405a2f,5
489ec87246ea9aef21020ec4cf8c66bf8b5b7193,5
1900041447cc7fd4f23a857c4839acbf74cd890c,1
115da9d5f5a8bf34a1fa39b25273d8a5e4d2b71f,4
ca0292d8c55634af5ca9cf956fa2d22740ced2e0,1
9c954adab34f703cb0d7c792d54d83307fa89f0d,4
91b2e91b02b337daad4b95bfc323af6814b345e7,3
95a816c9078c5cc7cb08d354a069a15f5d18951c,1
063cd412939ffd3070502ea4e4b430681c5adb97,4
181edb4aae6394c654dc99cc31abb3277e7304d7,4
050a836b18c419213f34b8ac76afced425d9d70e,4
7ec586756aa6a85d7cfc8e3ea417a09355a0798f,1
891ee3ca7b0333919985b1da4db1899a49f3afbc,4
32f74f31c8100dd562621c2c8005b87db2d3e6f0,5
927357a027c0cff09706a2f05b17f25fe2a0b0c1,4
42eee9237a665cf896ac67f63fc2779816d79e0f,2
